id_game,player,points,rebounds,assists,steals,blocks,misses,misses_ft,turnovers,fouls,FGM,FGA,FTM,FTA,3PM,3PA,MP
401724678,Madison Hayes,13,4,0,0,1,4,0,0,3,4,8,4,4,1,4,00:43:00
401724690,Tilda Trygger,2,5,0,0,0,1,0,1,4,1,2,0,0,0,0,00:17:00
401724690,Zoe Brooks,17,6,4,1,1,3,1,0,1,5,8,5,6,2,3,00:26:00
401724690,Aziaha James,21,3,4,2,0,14,1,1,0,7,21,1,2,6,15,00:31:00
401724690,Saniya Rivers,6,5,3,0,2,3,0,1,1,3,6,0,0,0,1,00:27:00
401724690,Madison Hayes,14,9,0,1,0,4,1,1,1,5,9,3,4,1,4,00:28:00
401724695,Tilda Trygger,4,4,0,2,0,4,0,0,1,2,6,0,0,0,1,00:31:00
401724695,Zoe Brooks,19,3,3,1,0,3,0,5,1,9,12,0,0,1,3,00:32:00
401724695,Aziaha James,19,9,3,0,0,10,1,3,3,7,17,1,2,4,9,00:27:00
401724695,Saniya Rivers,4,13,11,3,1,4,0,2,1,2,6,0,0,0,3,00:38:00
401724695,Madison Hayes,18,11,2,1,0,4,1,1,2,7,11,3,4,1,3,00:36:00
401743780,Tilda Trygger,12,6,1,0,0,7,1,1,1,6,13,0,1,0,2,00:38:00
401743780,Zoe Brooks,14,9,4,3,0,10,1,0,1,6,16,2,3,0,2,00:40:00
401743780,Aziaha James,16,4,2,0,1,10,0,1,3,7,17,2,2,0,4,00:30:00
401743780,Saniya Rivers,9,4,3,0,0,7,1,2,2,3,10,1,2,2,5,00:34:00
401743780,Madison Hayes,9,6,0,0,0,1,0,0,1,3,4,2,2,1,1,00:35:00
401743783,Tilda Trygger,8,3,1,0,0,1,1,2,4,3,4,1,2,1,1,00:18:00
401743783,Zoe Brooks,6,7,2,1,0,6,0,4,4,3,9,0,0,0,2,00:37:00
401743783,Aziaha James,19,9,2,1,0,9,0,4,2,5,14,8,8,1,6,00:31:00
401743783,Saniya Rivers,8,8,2,1,2,7,0,2,0,4,11,0,0,0,3,00:38:00
401743783,Madison Hayes,10,8,2,0,1,6,0,0,2,3,9,2,2,2,5,00:33:00
401743785,Tilda Trygger,4,7,1,0,0,4,0,0,0,1,5,2,2,0,2,00:33:00
401743785,Zoe Brooks,17,2,1,2,0,6,0,1,4,6,12,4,4,1,2,00:36:00
401743785,Aziaha James,18,1,2,0,0,14,1,4,3,7,21,2,3,2,8,00:36:00
401743785,Saniya Rivers,16,5,4,2,1,8,1,4,1,6,14,1,2,3,4,00:37:00
401743785,Madison Hayes,3,6,0,0,1,2,0,0,1,1,3,0,0,1,1,00:37:00
