id_game	player	id_player	EFF_per_min	Winscore_min	TS_min	home	sex	class
W401724488	Saniya Rivers	7	0.25	0.09375	0.0113553779069767	0	1	3
W401724488	Madison Hayes	6	0.538461538461538	0.365384615384615	0.0227583067819754	0	1	4
W401724488	Tilda Trygger	8	0.875	0.5	0.128073770491803	0	1	1
W401729147	Zoe Brooks	10	0.357142857142857	0.0714285714285714	0.0244618395303327	1	1	2
W401729147	Aziaha James	1	0.28125	0.015625	0.0146343659942363	1	1	3
W401729147	Saniya Rivers	7	0.384615384615385	0.102564102564103	0.0132495457298607	1	1	3
W401729147	Madison Hayes	6	0.407407407407407	0.185185185185185	0.0226337448559671	1	1	4
W401729147	Tilda Trygger	8	-0.2	-0.2	NA	1	1	1
W401702890	Zoe Brooks	10	0.514285714285714	0.228571428571429	0.0183894696089818	1	1	2
W401702890	Aziaha James	1	0.3125	0.125	0.0106095679012346	1	1	3
W401702890	Saniya Rivers	7	0.314285714285714	0.0857142857142857	0.0160875160875161	1	1	3
W401702890	Madison Hayes	6	0.264705882352941	0.147058823529412	0.0100725221595487	1	1	4
W401702891	Zoe Brooks	10	0.380952380952381	0.119047619047619	0.0168690958164642	1	1	2
W401702891	Aziaha James	1	0.625	0.21875	0.0422297297297297	1	1	3
W401702891	Saniya Rivers	7	0.952380952380952	0.547619047619048	0.0304136253041363	1	1	3
W401702891	Madison Hayes	6	0.291666666666667	0.166666666666667	0.0170765027322404	1	1	4
W401702891	Tilda Trygger	8	0.769230769230769	0.384615384615385	0.0693000693000693	1	1	1
W401702892	Zoe Brooks	10	-0.08	-0.16	0.00710900473933649	1	1	2
W401702892	Aziaha James	1	0.432432432432432	0.175675675675676	0.0151270673658733	1	1	3
W401702892	Saniya Rivers	7	0.675	0.3625	0.0137302284710018	1	1	3
W401702892	Madison Hayes	6	0.416666666666667	0.305555555555556	0.0114110589462702	1	1	4
W401702892	Tilda Trygger	8	-0.2	-0.3	0	1	1	1
W401720401	Zoe Brooks	10	0.448275862068966	0.155172413793103	0.0224709919921556	0	1	2
W401720401	Aziaha James	1	0.4	0.1	0.00964912280701754	0	1	3
W401720401	Saniya Rivers	7	0.67741935483871	0.419354838709677	0.0176964303771868	0	1	3
W401720401	Madison Hayes	6	0.260869565217391	0.108695652173913	0.0144927536231884	0	1	4
W401720401	Tilda Trygger	8	0.666666666666667	0.433333333333333	0.0343642611683849	0	1	1
W401702893	Zoe Brooks	10	0.277777777777778	0.0555555555555556	0.0107832988267771	1	1	2
W401702893	Aziaha James	1	0.526315789473684	0.223684210526316	0.0125598086124402	1	1	3
W401702893	Saniya Rivers	7	0.269230769230769	0.173076923076923	0.0065410779696494	1	1	3
W401702893	Madison Hayes	6	0.111111111111111	0	0.0118616287094548	1	1	4
W401702893	Tilda Trygger	8	0.5	0.3	0.0333333333333333	1	1	1
W401724565	Tilda Trygger	8	0.347826086956522	0.173913043478261	0.0221827861579414	1	1	1
W401724565	Zoe Brooks	10	0.638888888888889	0.263888888888889	0.0144341801385681	1	1	2
W401724565	Aziaha James	1	0.571428571428571	0.285714285714286	0.0182215743440233	1	1	3
W401724565	Saniya Rivers	7	0.294117647058824	0.0588235294117647	0.0144987572493786	1	1	3
W401724565	Madison Hayes	6	0.5	0.302631578947368	0.0173611111111111	1	1	4
W401724576	Tilda Trygger	8	0.523809523809524	0.261904761904762	0.0325266718709342	1	1	1
W401724576	Zoe Brooks	10	0.636363636363636	0.348484848484849	0.0130616509926855	1	1	2
W401724576	Aziaha James	1	0.608695652173913	0.173913043478261	0.022812667740204	1	1	3
W401724576	Saniya Rivers	7	1.17857142857143	0.767857142857143	0.026669758812616	1	1	3
W401724576	Madison Hayes	6	0.576923076923077	0.307692307692308	0.0285388127853881	1	1	4
W401724588	Tilda Trygger	8	0.5	0.220588235294118	0.0175951992887835	0	1	1
W401724588	Zoe Brooks	10	0.542857142857143	0.171428571428571	0.0125944584382872	0	1	2
W401724588	Aziaha James	1	0.368421052631579	0.0921052631578947	0.0153508771929825	0	1	3
W401724588	Saniya Rivers	7	0.325	0.1375	0.00919117647058823	0	1	3
W401724588	Madison Hayes	6	0.131578947368421	0.0921052631578947	0.0056390977443609	0	1	4
W401724594	Tilda Trygger	8	0.5	0.25	0.0211505922165821	0	1	1
W401724594	Zoe Brooks	10	0.518518518518518	0.166666666666667	0.0216049382716049	0	1	2
W401724594	Aziaha James	1	0.481481481481481	0.148148148148148	0.0186678614097969	0	1	3
W401724594	Saniya Rivers	7	0.6	0.35	0.0170819935691318	0	1	3
W401724594	Madison Hayes	6	0.388888888888889	0.236111111111111	0.0169753086419753	0	1	4
W401724737	Tilda Trygger	8	0	-0.178571428571429	0.0292740046838408	1	1	1
W401724737	Zoe Brooks	10	0.633333333333333	0.35	0.0189393939393939	1	1	2
W401724737	Aziaha James	1	0.766666666666667	0.383333333333333	0.0308641975308642	1	1	3
W401724737	Saniya Rivers	7	0.58974358974359	0.294871794871795	0.0157629255989912	1	1	3
W401724737	Madison Hayes	6	0.435897435897436	0.192307692307692	0.0130616509926855	1	1	4
W401724601	Tilda Trygger	8	0.551724137931034	0.344827586206897	0.0155172413793103	1	1	1
W401724601	Zoe Brooks	10	0.375	0.125	0.0118563685636856	1	1	2
W401724601	Aziaha James	1	0.275	0.025	0.0109841827768014	1	1	3
