id_game,player,points,rebounds,assists,steals,blocks,misses,misses_ft,turnovers,fouls,home,FGM,FGA,FTM,FTA,3PM,3PA,MP
401724808,Trey Parker,4,2,0,0,1,2,0,0,1,1,2,4,0,0,0,1,00:10:00
401724808,Dennis Parker Jr.,2,4,1,0,1,3,0,1,0,1,1,4,0,0,0,1,00:13:00
401724823,Ben Middlebrooks,4,4,0,0,3,3,0,2,4,1,1,4,2,2,0,1,00:19:00
401724823,Dontrez Styles,12,3,0,0,1,7,0,0,0,1,4,11,3,3,1,5,00:25:00
401724823,Jayden Taylor,11,6,2,3,0,10,0,0,2,1,3,13,4,4,1,7,00:33:00
401724823,Trey Parker,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,00:03:00
401724823,Dennis Parker Jr.,0,3,0,1,1,3,0,1,2,1,0,3,0,0,0,1,00:16:00
401724830,Ben Middlebrooks,0,3,3,1,1,2,0,1,2,0,0,2,0,0,0,0,00:21:00
401724830,Dontrez Styles,18,3,0,0,2,5,0,1,5,0,7,12,0,0,4,6,00:24:00
401724830,Jayden Taylor,8,2,1,2,1,5,0,1,2,0,3,8,0,0,2,4,00:33:00
401724830,Trey Parker,15,1,1,1,0,3,0,3,1,0,6,9,0,0,3,4,00:19:00
401724830,Dennis Parker Jr.,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,00:10:00
401724839,Ben Middlebrooks,4,6,1,0,3,5,0,2,4,1,2,7,0,0,0,1,00:28:00
401724839,Dontrez Styles,24,5,0,0,0,5,0,0,2,1,9,14,0,0,6,8,00:33:00
401724839,Jayden Taylor,6,7,4,4,0,6,2,1,1,1,2,8,2,4,0,2,00:32:00
401724839,Trey Parker,6,2,0,0,0,5,0,3,2,1,3,8,0,0,0,3,00:15:00
401724839,Dennis Parker Jr.,1,1,0,0,0,1,1,0,0,1,0,1,1,2,0,0,00:04:00
401724854,Ben Middlebrooks,2,0,0,0,0,2,0,0,4,0,0,2,2,2,0,0,00:16:00
401724854,Dontrez Styles,6,10,0,0,2,13,0,1,1,0,3,16,0,0,0,2,00:32:00
401724854,Jayden Taylor,9,5,1,1,0,7,0,0,3,0,3,10,2,2,1,5,00:35:00
401724854,Trey Parker,9,1,1,0,1,4,0,0,1,0,4,8,0,0,1,2,00:16:00
401724854,Dennis Parker Jr.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00:07:00
