game_id,player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
401724565,Madison Hayes,38,4-10,3-6,8-10,4,5,9,0,0,0,1,1,19
401724576,Tilda Trygger,21,4-6,0-0,2-3,2,1,3,0,0,1,0,1,10
401724576,Zoe Brooks,33,4-11,0-1,3-4,1,10,11,5,4,1,3,3,11
401724576,Aziaha James,23,6-14,2-6,3-5,0,2,2,4,0,1,0,2,17
401724576,Saniya Rivers,28,8-11,1-2,6-10,1,10,11,4,4,1,3,0,23
401724576,Madison Hayes,26,4-7,2-5,3-4,2,3,5,2,0,0,1,2,13
401724588,Tilda Trygger,34,7-15,4-7,1-2,6,4,10,0,0,1,4,4,19
401724588,Zoe Brooks,35,6-15,0-1,2-2,0,3,3,9,2,1,1,2,14
401724588,Aziaha James,38,9-18,3-7,0-0,1,3,4,0,0,0,2,3,21
401724588,Saniya Rivers,40,5-15,1-3,1-3,0,7,7,4,1,2,1,0,12
401724588,Madison Hayes,38,1-7,1-5,0-0,1,6,7,1,0,0,0,0,3
401724594,Tilda Trygger,30,4-7,0-2,2-2,1,4,5,3,1,1,2,1,10
401724594,Zoe Brooks,27,6-12,2-3,0-0,0,1,1,4,1,1,1,2,14
401724594,Aziaha James,27,6-14,1-6,2-2,1,4,5,2,2,0,3,2,15
401724594,Saniya Rivers,40,7-12,2-3,1-1,2,9,11,2,1,2,4,1,17
401724594,Madison Hayes,36,4-9,3-6,0-0,1,4,5,3,0,0,0,0,11
401724737,Tilda Trygger,14,2-4,0-1,0-2,0,1,1,0,0,0,1,3,4
401724737,Zoe Brooks,30,5-11,2-2,2-3,0,6,6,4,2,1,1,1,14
401724737,Aziaha James,30,7-11,6-10,2-2,0,2,2,4,0,0,1,3,22
401724737,Saniya Rivers,39,4-10,2-3,5-5,1,3,4,7,3,2,2,1,15
401724737,Madison Hayes,39,4-11,1-5,4-4,0,10,10,3,1,0,3,4,13
401724601,Tilda Trygger,29,4-10,1-1,0-0,7,6,13,1,0,0,1,3,9
401724601,Zoe Brooks,40,4-13,2-5,4-4,0,2,2,7,2,0,1,1,14
401724601,Aziaha James,40,8-21,1-8,3-4,0,4,4,2,0,0,1,0,20
401724601,Saniya Rivers,29,3-8,0-2,0-0,0,1,1,3,4,0,1,2,6
401724601,Madison Hayes,39,5-13,1-3,8-8,6,5,11,0,2,2,2,0,19
401724607,Tilda Trygger,19,2-5,0-0,0-0,1,1,2,0,0,0,0,1,4
401724607,Zoe Brooks,38,5-11,0-2,9-10,1,7,8,7,1,0,1,1,19
401724607,Aziaha James,26,6-18,0-4,2-2,1,0,1,2,2,1,2,1,14
401724607,Saniya Rivers,37,1-6,0-1,2-4,0,3,3,6,2,0,0,1,4
401724607,Madison Hayes,37,7-12,3-6,1-1,1,9,10,0,2,2,1,1,18
401724620,Tilda Trygger,22,2-4,0-0,0-2,0,1,1,0,0,0,0,2,4
401724620,Zoe Brooks,27,5-8,0-0,2-2,2,6,8,3,1,0,3,2,12
401724620,Aziaha James,29,10-18,3-6,2-3,0,5,5,4,2,0,1,0,25
401724620,Saniya Rivers,29,7-11,0-0,3-4,1,5,6,1,3,1,1,2,17
401724620,Madison Hayes,27,5-6,0-1,2-4,2,4,6,0,1,0,0,0,12
401724623,Tilda Trygger,21,4-4,0-0,4-4,1,2,3,0,0,0,0,2,12
