game_id,player,is_home,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
401724857,Dennis Parker Jr.,False,11,1-3,0-1,0-0,0,1,1,1,0,0,1,0,2
401724868,Dontrez Styles,True,34,2-7,1-5,0-0,1,2,3,3,1,1,0,2,5
401724868,Jayden Taylor,True,22,1-4,1-4,0-0,0,2,2,1,2,0,1,1,3
401724868,Ben Middlebrooks,True,19,0-2,0-0,4-6,2,1,3,0,0,0,1,2,4
401724868,Trey Parker,True,22,5-13,3-6,0-0,1,0,1,3,0,0,2,3,13
401724868,Dennis Parker Jr.,True,0,0,0,0,0,0,0,0,0,0,0,0,0
401724872,Ben Middlebrooks,True,28,3-4,0-0,0-0,2,2,4,1,3,1,0,3,6
401724872,Dontrez Styles,True,18,1-6,0-4,0-0,2,3,5,0,0,0,1,3,2
401724872,Jayden Taylor,True,37,6-16,2-8,5-6,2,1,3,1,4,1,1,4,19
401724872,Trey Parker,True,10,1-4,1-2,0-0,1,1,2,3,0,0,0,2,3
401724872,Dennis Parker Jr.,True,21,3-7,0-3,1-4,0,5,5,2,0,1,2,2,7
401724883,Ben Middlebrooks,False,21,0-4,0-1,0-0,0,1,1,3,0,1,1,2,0
401724883,Dontrez Styles,False,29,7-10,3-4,1-1,3,2,5,0,1,0,0,2,18
401724883,Jayden Taylor,False,32,8-13,2-6,1-3,0,2,2,0,0,0,1,4,19
401724883,Trey Parker,False,15,0-5,0-4,4-4,0,1,1,1,2,0,4,1,4
401724883,Dennis Parker Jr.,False,11,1-2,1-2,0-0,0,1,1,0,0,2,0,0,3
401724893,Ben Middlebrooks,True,27,2-3,0-0,6-7,2,5,7,2,0,2,1,5,10
401724893,Dontrez Styles,True,34,9-17,4-11,0-0,2,8,10,1,0,1,2,5,22
401724893,Jayden Taylor,True,24,2-5,1-3,0-0,0,1,1,2,0,0,2,4,5
401724893,Trey Parker,True,5,0-0,0-0,0-0,0,0,0,1,0,0,1,0,0
401724893,Dennis Parker Jr.,True,5,1-4,1-3,1-2,1,0,1,0,1,0,1,3,4
401724899,Ben Middlebrooks,False,18,3-7,0-0,0-1,0,5,5,0,0,0,2,4,6
401724899,Dontrez Styles,False,27,6-14,4-10,1-1,1,1,2,1,1,1,1,3,17
401724899,Jayden Taylor,False,23,0-2,0-0,0-0,0,2,2,2,0,0,1,2,0
401724899,Trey Parker,False,14,1-4,1-2,0-0,1,1,2,1,1,0,0,2,3
401724899,Dennis Parker Jr.,False,6,2-3,1-2,0-0,1,0,1,0,0,0,1,1,5
401724903,Ben Middlebrooks,False,17,5-6,0-0,3-4,3,3,6,0,0,0,1,5,13
401724903,Dontrez Styles,False,30,4-12,3-8,2-2,0,5,5,0,0,2,1,3,13
401724903,Jayden Taylor,False,28,2-7,0-2,0-0,0,2,2,3,1,0,2,1,4
401724903,Trey Parker,False,15,1-4,1-2,1-2,2,1,3,4,1,0,3,2,4
401724903,Dennis Parker Jr.,False,6,1-1,1-1,0-0,0,1,1,1,0,0,0,0,3
401724918,Ben Middlebrooks,True,28,2-4,1-1,6-7,1,1,2,1,3,1,1,5,11
401724918,Dontrez Styles,True,36,6-13,1-5,0-0,3,10,13,1,1,1,2,1,13
401724918,Jayden Taylor,True,26,1-6,1-5,2-2,0,1,1,2,1,0,2,3,5
401724918,Trey Parker,True,2,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0
401724918,Dennis Parker Jr.,True,0,0,0,0,0,0,0,0,0,0,0,0,0
401724925,Ben Middlebrooks,False,17,0-1,0-0,1-2,2,1,3,1,1,0,0,4,1
401724925,Dontrez Styles,False,34,8-13,4-7,4-6,0,3,3,1,0,2,2,3,24
401724925,Jayden Taylor,False,16,0-3,0-1,1-2,0,2,2,2,0,0,0,2,1
401724925,Trey Parker,False,0,0,0,0,0,0,0,0,0,0,0,0,0
401724925,Dennis Parker Jr.,False,0,0,0,0,0,0,0,0,0,0,0,0,0
